@relation combi
@attribute Id numeric
@attribute Alley {'None','Pave','Grvl'}
@attribute BedroomAbvGr numeric
@attribute BldgType string
@attribute BsmtCond {'None','Po','Fa','TA','Gd','Ex'}
@attribute BsmtExposure {'None','No','Mn','Av','Gd'}
@attribute BsmtFinSF1 numeric
@attribute BsmtFinSF2 numeric
@attribute BsmtFinType1 {'None','Unf','LwQ','Rec','BLQ','ALQ','GLQ'}
@attribute BsmtFinType2 {'None','Unf','LwQ','Rec','BLQ','ALQ','GLQ'}
@attribute BsmtFullBath numeric
@attribute BsmtHalfBath numeric
@attribute BsmtQual {'None','Po','Fa','TA','Gd','Ex'}
@attribute BsmtUnfSF numeric
@attribute CentralAir {'N','Y'}
@attribute Condition1 string
@attribute Condition2 string
@attribute Electrical string
@attribute EnclosedPorch numeric
@attribute ExterCond {'Po','Fa','TA','Gd','Ex'}
@attribute Exterior1st string
@attribute Exterior2nd string
@attribute ExterQual {'Po','Fa','TA','Gd','Ex'}
@attribute Fence {'None','MnWw','GdWo','MnPrv','GdPrv'}
@attribute FireplaceQu {'None','Po','Fa','TA','Gd','Ex'}
@attribute Fireplaces numeric
@attribute Foundation string
@attribute FullBath numeric
@attribute Functional {'Sal','Sev','Maj2','Maj1','Mod','Min2','Min1','Typ'}
@attribute GarageArea numeric
@attribute GarageCars numeric
@attribute GarageCond {'None','Po','Fa','TA','Gd','Ex'}
@attribute GarageFinish {'None','Unf','RFn','Fin'}
@attribute GarageQual {'None','Po','Fa','TA','Gd','Ex'}
@attribute GarageType string
@attribute GarageYrBlt numeric
@attribute GrLivArea numeric
@attribute HalfBath numeric
@attribute Heating string
@attribute HeatingQC {'Po','Fa','TA','Gd','Ex'}
@attribute HouseStyle string
@attribute KitchenAbvGr numeric
@attribute KitchenQual {'Po','Fa','TA','Gd','Ex'}
@attribute LandSlope {'Sev','Mod','Gtl'}
@attribute LotArea numeric
@attribute LotConfig string
@attribute LotFrontage numeric
@attribute LotShape {'IR3','IR2','IR1','Reg'}
@attribute LowQualFinSF numeric
@attribute MasVnrArea numeric
@attribute MasVnrType string
@attribute MiscFeature string
@attribute MiscVal numeric
@attribute MoSold {'1','2','3','4','5','6','7','8','9','10','11','12'}
@attribute MSSubClass {'20','30','40','45','50','60','70','75','80','85','90','120','150','160','180','190'}
@attribute MSZoning string
@attribute Neighborhood string
@attribute OpenPorchSF numeric
@attribute OverallCond {'1','2','3','4','5','6','7','8','9'}
@attribute OverallQual numeric
@attribute PavedDrive {'N','P','Y'}
@attribute PoolArea numeric
@attribute PoolQC {'None','Fa','TA','Gd','Ex'}
@attribute RoofMatl string
@attribute RoofStyle string
@attribute SaleCondition string
@attribute SaleType string
@attribute ScreenPorch numeric
@attribute Street {'Pave','Grvl'}
@attribute TotalBsmtSF numeric
@attribute TotRmsAbvGrd numeric
@attribute Utilities string
@attribute WoodDeckSF numeric
@attribute X1stFlrSF numeric
@attribute X2ndFlrSF numeric
@attribute X3SsnPorch numeric
@attribute YearBuilt numeric
@attribute YearRemodAdd numeric
@attribute YrSold {'2006','2007','2008','2009','2010'}
@attribute SalePrice numeric
@data
720,'None',3,'1Fam','TA','Gd',523,0,'ALQ','Unf',0,0,'Gd',448,'Y','Norm','Norm','SBrkr',0,'TA','HdBoard','Plywood','TA','None','Po',1,'CBlock',1,'Typ',300,1,'TA','Unf','TA','Attchd',1969,971,1,'GasA','TA','1Story',1,'TA','Gtl',9920,'Inside',69,'IR1',0,0,'None','None',0,'5','20','RL','CollgCr',0,'6',5,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',971,5,'AllPub',0,971,0,0,1969,1969,'2006',128500
721,'None',2,'1Fam','TA','Gd',1148,0,'GLQ','Unf',1,0,'Gd',594,'Y','Norm','Norm','SBrkr',234,'TA','HdBoard','HdBoard','Gd','None','TA',1,'PConc',2,'Typ',564,2,'TA','RFn','TA','Attchd',1985,1742,0,'GasA','TA','1Story',1,'Gd','Mod',6563,'CulDSac',60,'IR1',0,0,'None','None',0,'12','120','RL','StoneBr',28,'5',8,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1742,5,'AllPub',114,1742,0,0,1985,1985,'2006',275000
722,'None',1,'TwnhsE','TA','Av',662,0,'GLQ','Unf',1,0,'Gd',186,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','None',0,'PConc',1,'Typ',420,2,'TA','RFn','TA','Attchd',2004,848,0,'GasA','Ex','1Story',1,'Gd','Gtl',4426,'Inside',70,'Reg',0,169,'BrkFace','None',0,'5','120','RM','CollgCr',0,'5',6,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',848,3,'AllPub',160,848,0,0,2004,2004,'2010',143000
723,'None',3,'1Fam','TA','No',191,0,'ALQ','Unf',0,0,'TA',673,'Y','Norm','Norm','SBrkr',0,'Gd','MetalSd','MetalSd','TA','None','None',0,'CBlock',1,'Typ',463,2,'TA','Unf','TA','Detchd',1994,864,0,'GasA','Ex','1Story',1,'TA','Gtl',8120,'Inside',70,'Reg',0,0,'None','None',0,'7','20','RL','NAmes',0,'7',4,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',864,5,'AllPub',0,864,0,0,1970,1970,'2009',124500
724,'None',4,'1Fam','TA','No',0,0,'Unf','Unf',0,0,'TA',941,'Y','Norm','Norm','SBrkr',0,'TA','MetalSd','MetalSd','TA','None','None',0,'PConc',2,'Typ',548,1,'TA','Unf','TA','Detchd',1958,1470,0,'GasA','Ex','1.5Fin',1,'TA','Gtl',8172,'Inside',60,'Reg',0,0,'None','None',0,'5','50','RL','Edwards',0,'6',4,'Y',0,'None','CompShg','Gable','Normal','WD',156,'Pave',941,7,'AllPub',0,997,473,0,1954,1972,'2008',135000
725,'None',3,'1Fam','TA','No',1234,0,'GLQ','Unf',1,0,'Ex',464,'Y','Norm','Norm','SBrkr',0,'TA','CemntBd','CmentBd','Ex','None','Gd',1,'PConc',2,'Typ',768,3,'TA','Fin','TA','Attchd',2007,1698,0,'GasA','Ex','1Story',1,'Ex','Gtl',13286,'Inside',86,'IR1',0,340,'Stone','None',0,'2','20','RL','Edwards',64,'5',9,'Y',0,'None','CompShg','Hip','Normal','WD',0,'Pave',1698,8,'AllPub',327,1698,0,0,2007,2008,'2009',320000
726,'None',3,'1Fam','TA','No',375,239,'ALQ','BLQ',0,0,'TA',250,'Y','Norm','Norm','SBrkr',0,'TA','HdBoard','Plywood','TA','None','None',0,'CBlock',1,'Typ',660,2,'TA','Unf','TA','Detchd',1989,864,0,'GasA','TA','1Story',1,'Gd','Gtl',6960,'Inside',60,'Reg',0,0,'None','Shed',500,'11','20','RL','NAmes',0,'6',4,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',864,5,'AllPub',96,864,0,0,1970,1970,'2009',120500
727,'None',3,'1Fam','TA','No',808,0,'GLQ','Unf',1,0,'Gd',72,'Y','Norm','Norm','SBrkr',0,'Gd','Wd Sdng','Plywood','Gd','None','Gd',1,'CBlock',2,'Typ',540,2,'TA','Fin','TA','Attchd',1988,1680,0,'GasA','Ex','1Story',1,'Gd','Gtl',21695,'Corner',70,'IR1',0,260,'BrkFace','None',0,'12','20','RL','Crawfor',44,'9',6,'Y',0,'None','CompShg','Hip','Normal','WD',0,'Pave',880,5,'AllPub',292,1680,0,182,1988,2007,'2009',222000
728,'None',2,'1Fam','TA','Av',724,0,'GLQ','Unf',1,0,'Gd',508,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','None',0,'PConc',2,'Typ',632,2,'TA','RFn','TA','Attchd',2007,1232,0,'GasA','Ex','1Story',1,'Gd','Gtl',7314,'Inside',64,'Reg',0,82,'Stone','None',0,'2','20','RL','CollgCr',0,'5',7,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1232,6,'AllPub',132,1232,0,0,2007,2007,'2009',194500
729,'None',4,'Duplex','TA','No',0,0,'Unf','Unf',1,0,'TA',1584,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','TA','None','None',0,'CBlock',2,'Typ',888,3,'TA','Unf','TA','Detchd',1968,1776,0,'GasA','TA','1Story',2,'TA','Gtl',11475,'Corner',85,'Reg',0,95,'BrkFace','None',0,'7','90','RL','NAmes',25,'5',5,'Y',0,'None','CompShg','Gable','Abnorml','COD',0,'Pave',1584,9,'AllPub',0,1776,0,0,1958,1958,'2009',110000
730,'Grvl',2,'1Fam','TA','No',152,0,'BLQ','Unf',0,0,'TA',628,'Y','Norm','Norm','FuseA',112,'TA','MetalSd','MetalSd','TA','None','None',0,'CBlock',1,'Typ',539,2,'TA','Unf','TA','Detchd',1962,1208,0,'GasA','TA','1.5Fin',1,'TA','Gtl',6240,'Inside',52,'Reg',360,0,'None','None',0,'1','30','RM','IDOTRR',23,'5',4,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',780,5,'AllPub',0,848,0,0,1925,1950,'2009',103000
731,'None',2,'TwnhsE','TA','No',1180,0,'GLQ','Unf',1,0,'Gd',415,'Y','Norm','Norm','SBrkr',0,'TA','CemntBd','CmentBd','Gd','None','TA',1,'PConc',2,'Typ',608,2,'TA','RFn','TA','Attchd',1995,1616,0,'GasA','Ex','1Story',1,'Gd','Gtl',5389,'Inside',39,'IR1',0,0,'None','None',0,'3','120','RL','StoneBr',152,'5',8,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1595,5,'AllPub',237,1616,0,0,1995,1996,'2010',236500
732,'None',3,'1Fam','TA','Av',786,0,'GLQ','Unf',1,0,'Ex',82,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','Gd',1,'PConc',2,'Typ',438,2,'TA','Fin','TA','Attchd',2003,1146,0,'GasA','Ex','SLvl',1,'Gd','Gtl',9590,'Corner',73,'IR1',0,442,'BrkFace','None',0,'5','80','RL','Timber',22,'5',7,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',868,6,'AllPub',160,1146,0,0,2003,2003,'2007',187500
733,'None',3,'1Fam','TA','Av',252,0,'ALQ','Unf',0,0,'Gd',901,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','TA',1,'PConc',2,'Typ',541,2,'TA','Fin','TA','Attchd',1998,2031,1,'GasA','Ex','2Story',1,'Gd','Gtl',11404,'Inside',75,'IR1',0,202,'BrkFace','None',0,'7','60','RL','CollgCr',84,'5',7,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1153,8,'AllPub',192,1153,878,0,1998,1999,'2008',222500
734,'None',3,'1Fam','TA','No',594,0,'BLQ','Unf',1,0,'TA',270,'Y','Feedr','Norm','SBrkr',0,'TA','HdBoard','HdBoard','TA','GdWo','TA',1,'CBlock',1,'Typ',264,1,'TA','RFn','TA','Attchd',1961,1144,0,'GasA','Ex','1Story',1,'TA','Gtl',10000,'Corner',80,'Reg',0,0,'None','Shed',400,'3','20','RL','Sawyer',0,'6',5,'Y',0,'None','CompShg','Hip','Normal','WD',0,'Pave',864,6,'AllPub',165,1144,0,0,1961,1983,'2009',131400
735,'None',3,'1Fam','TA','No',0,0,'Unf','Unf',0,0,'TA',948,'Y','Norm','Norm','SBrkr',0,'TA','Plywood','Plywood','TA','None','None',0,'PConc',1,'Typ',300,1,'TA','Unf','TA','Attchd',1968,948,0,'GasA','TA','1Story',1,'TA','Gtl',8978,'Corner',72,'IR1',0,0,'None','None',0,'5','20','RL','Sawyer',0,'5',5,'Y',0,'None','CompShg','Gable','Family','WD',0,'Pave',948,6,'AllPub',147,948,0,0,1968,1968,'2007',108000
736,'None',2,'1Fam','TA','Mn',390,0,'Rec','Unf',0,0,'Gd',490,'N','Norm','Norm','SBrkr',0,'TA','Wd Sdng','Wd Sdng','TA','None','TA',2,'BrkTil',1,'Typ',320,2,'TA','Unf','TA','Detchd',1914,1768,1,'GasW','Fa','2.5Unf',1,'TA','Gtl',10800,'Inside',60,'Reg',0,0,'None','None',0,'10','75','RM','OldTown',341,'7',7,'N',0,'None','CompShg','Gable','Normal','WD',0,'Pave',880,6,'AllPub',0,880,888,0,1914,1970,'2006',163000
737,'None',2,'Duplex','None','None',0,0,'None','None',0,0,'None',0,'N','Norm','Norm','FuseF',0,'TA','Stucco','Stone','TA','None','None',0,'CBlock',2,'Typ',400,2,'TA','Unf','TA','Detchd',1949,1040,0,'GasA','Gd','1Story',2,'TA','Gtl',8544,'Inside',60,'Reg',0,0,'None','None',0,'7','90','RL','NAmes',0,'4',3,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',0,6,'AllPub',0,1040,0,0,1950,1950,'2006',93500
738,'None',3,'1Fam','TA','No',0,0,'Unf','Unf',0,0,'Gd',893,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','Gd',1,'PConc',2,'Typ',800,3,'TA','Fin','TA','Attchd',2005,1801,1,'GasA','Ex','2Story',1,'Gd','Gtl',10463,'CulDSac',72,'IR1',0,0,'None','None',0,'6','60','RL','Gilbert',116,'5',8,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',893,8,'AllPub',0,901,900,0,2005,2005,'2006',239900
739,'None',3,'Duplex','Gd','Gd',1200,0,'GLQ','Unf',3,0,'Gd',0,'Y','Norm','Norm','SBrkr',0,'TA','Plywood','Plywood','TA','None','None',0,'CBlock',3,'Typ',0,0,'None','None','None','None',0,1200,0,'GasA','TA','1Story',1,'TA','Gtl',10800,'Inside',60,'Reg',0,0,'None','None',0,'3','90','RL','Edwards',0,'5',5,'Y',0,'None','CompShg','Gable','Alloca','WD',0,'Pave',1200,5,'AllPub',120,1200,0,0,1987,1988,'2009',179000
740,'None',3,'1Fam','TA','No',0,0,'Unf','Unf',0,0,'Gd',864,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','None',0,'PConc',2,'Typ',572,2,'TA','RFn','TA','Attchd',2004,1728,1,'GasA','Ex','2Story',1,'Gd','Gtl',9313,'Inside',65,'IR1',0,0,'None','None',0,'4','60','RL','CollgCr',56,'5',7,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',864,7,'AllPub',187,864,864,0,2004,2004,'2009',190000
741,'Grvl',2,'1Fam','Fa','No',0,0,'Unf','Unf',0,0,'Fa',264,'Y','Norm','Norm','SBrkr',112,'Gd','Wd Sdng','Wd Shng','TA','GdPrv','None',0,'BrkTil',2,'Typ',360,2,'Gd','Unf','TA','Detchd',1910,1432,0,'GasA','Ex','2Story',1,'TA','Gtl',9600,'Inside',60,'Reg',0,0,'None','None',0,'5','70','RM','OldTown',0,'7',5,'Y',0,'None','CompShg','Gable','Abnorml','WD',0,'Pave',264,7,'AllPub',270,768,664,0,1910,2002,'2007',132000
742,'None',3,'1Fam','TA','Mn',832,0,'GLQ','Unf',1,1,'TA',80,'Y','Feedr','Norm','SBrkr',0,'Gd','HdBoard','HdBoard','TA','GdPrv','None',0,'CBlock',1,'Typ',288,1,'TA','Unf','TA','Detchd',1962,912,0,'GasA','Gd','1Story',1,'Gd','Gtl',6768,'Inside',65,'IR1',0,0,'None','None',0,'5','20','RL','Sawyer',0,'8',6,'Y',0,'None','CompShg','Hip','Normal','WD',0,'Pave',912,5,'AllPub',168,912,0,0,1961,1996,'2008',142000
743,'None',3,'1Fam','TA','No',0,0,'Unf','Unf',0,0,'Gd',1349,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','TA','GdPrv','None',0,'PConc',2,'Typ',539,2,'TA','Unf','TA','Attchd',2000,1349,0,'GasA','Ex','1Story',1,'TA','Gtl',8450,'Inside',65,'Reg',0,108,'BrkFace','None',0,'12','20','RL','SawyerW',55,'5',7,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1349,6,'AllPub',120,1349,0,0,2000,2001,'2007',179000
744,'None',3,'1Fam','TA','Av',444,0,'ALQ','Unf',0,1,'Gd',76,'Y','Norm','Norm','SBrkr',0,'TA','HdBoard','HdBoard','TA','None','TA',1,'CBlock',2,'Min2',480,2,'TA','RFn','TA','Attchd',1997,1464,0,'GasA','Ex','SLvl',1,'TA','Gtl',12886,'Inside',70,'IR1',0,0,'None','None',0,'10','80','RL','Sawyer',0,'6',5,'Y',0,'None','CompShg','Gable','Normal','WD',100,'Pave',520,6,'AllPub',302,1464,0,0,1963,1999,'2009',175000
745,'None',2,'TwnhsE','TA','No',733,0,'GLQ','Unf',1,0,'Gd',604,'Y','Norm','Norm','SBrkr',70,'TA','HdBoard','HdBoard','Gd','None','TA',1,'PConc',2,'Typ',462,2,'TA','RFn','TA','Attchd',1993,1337,0,'GasA','Gd','1Story',1,'Gd','Gtl',5395,'Inside',41,'IR1',0,0,'None','None',0,'10','120','RL','StoneBr',0,'5',8,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1337,5,'AllPub',96,1337,0,168,1993,1993,'2008',180000
746,'None',4,'1Fam','Gd','No',575,80,'GLQ','ALQ',0,1,'TA',487,'Y','Norm','Norm','SBrkr',0,'Gd','VinylSd','VinylSd','Ex','None','TA',2,'CBlock',3,'Typ',831,2,'TA','Fin','TA','BuiltIn',1994,2715,1,'GasA','Ex','2Story',1,'Gd','Gtl',8963,'Inside',80,'IR1',0,289,'BrkFace','None',0,'7','60','RL','NWAmes',204,'9',8,'Y',0,'None','CompShg','Hip','Normal','WD',0,'Pave',1142,11,'AllPub',0,1175,1540,0,1976,1996,'2008',299800
747,'None',4,'1Fam','TA','No',300,0,'GLQ','Unf',0,0,'Gd',652,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','TA',1,'PConc',2,'Typ',554,2,'TA','Fin','TA','BuiltIn',2000,2256,1,'GasA','Ex','2Story',1,'Gd','Gtl',8795,'Inside',64,'IR1',0,0,'None','None',0,'4','60','RL','Gilbert',54,'5',7,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',952,8,'AllPub',224,980,1276,0,2000,2000,'2009',236000
748,'Pave',4,'1Fam','Fa','No',0,0,'Unf','Unf',0,0,'TA',1240,'N','Norm','Norm','SBrkr',386,'TA','Stucco','Stucco','Gd','None','Gd',1,'Stone',1,'Typ',864,4,'TA','Unf','TA','Detchd',1950,2640,1,'GasW','TA','2Story',1,'Gd','Gtl',11700,'Corner',65,'IR1',0,0,'None','None',0,'5','70','RM','OldTown',0,'7',7,'N',0,'None','CompShg','Mansard','Normal','WD',0,'Pave',1240,8,'AllPub',181,1320,1320,0,1880,2003,'2009',265979
749,'None',3,'1Fam','TA','No',919,0,'GLQ','Unf',1,0,'Gd',801,'Y','Norm','Norm','SBrkr',154,'TA','VinylSd','VinylSd','Gd','None','TA',1,'PConc',2,'Typ',527,2,'TA','Fin','TA','Attchd',1996,1720,0,'GasA','Ex','1Story',1,'Gd','Gtl',10593,'Inside',59,'IR1',0,338,'BrkFace','None',0,'3','20','RL','NoRidge',56,'5',7,'Y',0,'None','CompShg','Hip','Normal','WD',0,'Pave',1720,7,'AllPub',240,1720,0,0,1996,1996,'2010',260400
750,'None',4,'1Fam','None','None',0,0,'None','None',0,0,'None',0,'N','Norm','Norm','FuseF',185,'TA','WdShing','Wd Shng','TA','None','None',0,'Slab',2,'Mod',240,1,'TA','Unf','TA','Detchd',1945,1529,0,'Wall','TA','1.5Fin',1,'TA','Gtl',8405,'Inside',50,'Reg',0,0,'None','None',0,'4','50','RL','Edwards',0,'3',4,'N',0,'None','CompShg','Gable','Normal','WD',0,'Pave',0,9,'AllPub',92,1088,441,0,1945,1950,'2009',98000
751,'Grvl',3,'1Fam','Fa','No',0,0,'Unf','Unf',0,0,'TA',576,'Y','Norm','Norm','SBrkr',0,'TA','Wd Sdng','Wd Sdng','TA','None','None',0,'BrkTil',1,'Min2',0,0,'None','None','None','None',0,1140,0,'GasA','Gd','1.5Fin',1,'TA','Gtl',8800,'Corner',55,'Reg',0,0,'None','None',0,'6','50','RM','OldTown',160,'7',4,'N',0,'None','CompShg','Gable','Normal','WD',0,'Pave',576,7,'AllPub',0,792,348,0,1910,2004,'2010',96500
752,'None',3,'1Fam','TA','No',0,0,'Unf','Unf',0,0,'Gd',660,'Y','RRAn','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','None',0,'PConc',2,'Typ',400,2,'TA','Fin','TA','Attchd',2003,1320,1,'GasA','Ex','2Story',1,'Gd','Gtl',7750,'Inside',64,'Reg',0,0,'None','None',0,'8','60','RL','Gilbert',48,'5',7,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',660,6,'AllPub',0,660,660,0,2003,2003,'2007',162000
753,'None',3,'1Fam','TA','Gd',1200,0,'GLQ','Unf',1,0,'Gd',279,'Y','Norm','Norm','SBrkr',0,'Gd','VinylSd','VinylSd','TA','None','None',0,'PConc',2,'Typ',576,2,'TA','RFn','TA','Attchd',1997,1494,0,'GasA','Ex','1Story',1,'Gd','Gtl',9236,'Inside',79,'IR1',0,0,'None','None',0,'7','20','RL','CollgCr',27,'5',6,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1479,6,'AllPub',168,1494,0,0,1997,1997,'2006',217000
754,'None',3,'1Fam','TA','Mn',0,0,'Unf','Unf',0,0,'Gd',1030,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','Gd',1,'PConc',2,'Typ',878,3,'TA','RFn','TA','Attchd',2005,2098,1,'GasA','Gd','2Story',1,'Ex','Gtl',10240,'Inside',80,'Reg',0,178,'BrkFace','None',0,'3','60','RL','NridgHt',52,'5',8,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1030,8,'AllPub',192,1038,1060,0,2005,2005,'2006',275500
755,'None',3,'1Fam','TA','No',439,472,'GLQ','LwQ',1,0,'TA',115,'Y','Norm','Norm','SBrkr',0,'TA','Plywood','Plywood','TA','None','None',0,'CBlock',1,'Typ',440,2,'TA','RFn','TA','Detchd',1969,1026,0,'GasA','Gd','1Story',1,'Gd','Gtl',7930,'Inside',61,'Reg',0,0,'None','None',0,'7','20','RL','NAmes',48,'8',6,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1026,5,'AllPub',171,1026,0,0,1969,2005,'2009',156000
756,'Pave',3,'TwnhsE','TA','No',381,0,'GLQ','Unf',0,0,'Gd',348,'Y','Norm','Norm','SBrkr',0,'TA','MetalSd','MetalSd','TA','None','None',0,'PConc',2,'Typ',440,2,'TA','Unf','TA','Detchd',1999,1471,1,'GasA','Gd','2Story',1,'TA','Gtl',3230,'Inside',34,'Reg',0,894,'BrkFace','None',0,'3','160','FV','Somerst',24,'5',6,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',729,6,'AllPub',0,742,729,0,1999,1999,'2009',172500
757,'None',3,'1Fam','TA','Av',20,0,'GLQ','Unf',0,0,'Gd',846,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','None',0,'PConc',2,'Typ',578,2,'TA','RFn','TA','Attchd',2007,1768,1,'GasA','Ex','2Story',1,'Gd','Gtl',10769,'Inside',68,'IR1',0,0,'None','None',0,'4','60','RL','CollgCr',105,'5',8,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',866,7,'AllPub',144,866,902,0,2007,2007,'2009',212000
758,'None',3,'1Fam','TA','Mn',438,0,'Rec','Unf',0,0,'TA',234,'Y','Norm','Norm','SBrkr',0,'TA','HdBoard','HdBoard','TA','GdPrv','TA',1,'CBlock',2,'Typ',440,2,'TA','Fin','TA','Attchd',1978,1386,1,'GasA','TA','2Story',1,'TA','Gtl',11616,'CulDSac',72,'IR1',0,328,'BrkCmn','None',0,'4','60','RL','Sawyer',0,'5',6,'Y',0,'None','CompShg','Hip','Abnorml','WD',0,'Pave',672,6,'AllPub',335,672,714,0,1978,1978,'2010',158900
759,'Pave',3,'Twnhs','TA','No',549,0,'ALQ','Unf',0,0,'Gd',195,'Y','Norm','Norm','SBrkr',0,'TA','MetalSd','MetalSd','TA','None','None',0,'PConc',2,'Typ',440,2,'TA','Unf','TA','Detchd',1999,1501,1,'GasA','Gd','2Story',1,'TA','Gtl',2280,'Inside',24,'Reg',0,360,'BrkFace','None',0,'8','160','FV','Somerst',0,'5',7,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',744,6,'AllPub',0,757,744,0,1999,1999,'2008',179400
760,'None',4,'1Fam','TA','Av',56,64,'LwQ','ALQ',0,0,'Gd',1198,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','TA',1,'PConc',2,'Typ',752,3,'TA','RFn','TA','Attchd',1995,2531,1,'GasA','Ex','2Story',1,'Gd','Gtl',12257,'Inside',65,'IR1',0,513,'BrkFace','None',0,'11','60','RL','NoRidge',98,'5',8,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1318,9,'AllPub',222,1328,1203,0,1995,1995,'2007',290000
761,'None',2,'1Fam','TA','No',612,0,'Rec','Unf',0,0,'TA',252,'Y','Norm','Norm','SBrkr',0,'TA','Wd Sdng','Wd Sdng','TA','None','None',0,'CBlock',1,'Typ',300,1,'Ex','Unf','Ex','Detchd',2008,864,0,'GasA','Ex','1Story',1,'TA','Gtl',9100,'Inside',70,'Reg',0,0,'None','Shed',450,'10','20','RL','NAmes',0,'6',6,'Y',0,'None','CompShg','Hip','Normal','WD',0,'Pave',864,5,'AllPub',0,864,0,0,1959,1959,'2009',127500
762,'None',2,'1Fam','TA','Mn',405,0,'LwQ','Unf',0,0,'TA',740,'Y','Feedr','Norm','SBrkr',0,'TA','Wd Sdng','Wd Sdng','TA','None','None',0,'PConc',1,'Min1',440,2,'TA','Unf','TA','Detchd',1965,1301,0,'GasA','TA','1Story',1,'Fa','Gtl',6911,'FR2',60,'Reg',0,0,'None','None',0,'10','30','RM','BrkSide',0,'5',5,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1145,5,'AllPub',0,1301,0,0,1924,1950,'2009',100000
763,'None',3,'1Fam','TA','Mn',24,0,'GLQ','Unf',0,0,'Gd',732,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','TA','None','None',0,'PConc',2,'Typ',614,2,'TA','Unf','TA','Attchd',2009,1547,1,'GasA','Ex','2Story',1,'Gd','Gtl',8640,'Inside',72,'Reg',0,0,'None','None',0,'6','60','FV','Somerst',45,'5',7,'Y',0,'None','CompShg','Gable','Normal','Con',0,'Pave',756,7,'AllPub',169,764,783,0,2009,2009,'2010',215200
764,'None',3,'1Fam','TA','Mn',1163,0,'GLQ','Unf',1,0,'Gd',89,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','Gd',1,'PConc',2,'Typ',856,3,'TA','RFn','TA','Attchd',1999,2365,1,'GasA','Ex','2Story',1,'Gd','Gtl',9430,'Inside',82,'Reg',0,673,'BrkFace','None',0,'7','60','RL','NoRidge',128,'5',8,'Y',0,'None','CompShg','Gable','Normal','WD',180,'Pave',1252,8,'AllPub',0,1268,1097,0,1999,1999,'2009',337000
765,'None',2,'TwnhsE','Gd','Av',437,1057,'LwQ','GLQ',1,0,'Gd',0,'Y','Norm','Norm','SBrkr',0,'Gd','BrkFace','BrkFace','Gd','None','Gd',1,'PConc',1,'Typ',481,2,'TA','Fin','TA','Attchd',1995,1494,1,'GasA','Ex','1Story',1,'Ex','Gtl',9549,'CulDSac',30,'IR1',0,0,'None','None',0,'4','120','RL','Veenker',30,'5',8,'Y',0,'None','CompShg','Hip','Normal','WD',216,'Pave',1494,6,'AllPub',0,1494,0,0,1995,1996,'2006',270000
